Choice 0,Choice 1,Choice 2,Choice 3,Correct Answer (index),Category,Question,Prize,Round
4,,,,,,,,(Integer value used to determine player choices array size, alter to add more choices)
Venus,Poseidon,Ares,Zeus,3,Greek Mythology,Which Greek god is known as the King of the gods?,99,99
Mount Rainier,Mount Vesuvius,Mount Olympus,Mount Everest,2,Greek Mythology,What is the name of the mountain where the Greek gods lived?,99,99
Athens,Aegina,Troy,Thebes,0,Greek Mythology,What Greek city is named after Athena?,99,99
Pomegranate,Apple,Cydonian Pome,Fig,0,Greek Mythology,What fruit did Persephone eat to get her stuck in the Underworld?,99,99
Achilles,Hercules,Bellerophon,Perseus,1,Greek Mythology,Which Greek hero is famously known for completing 12 labors?,99,99
King Midas of Midaeum,King Alexander III of Macedonia,King Leonidas of Sparta,King Perseus of Athens,0,Greek Mythology,Who did King of Phrygia grant the power to turn anything to gold with a touch?,99,99
Argus,Empousai,Typhon,Cerberus,3,Greek Mythology,What was the name of the three-headed dog that guarded the entrance of the Underworld?,99,99
Hydra,Cyclops,Chimera,Gorgons,0,Greek Mythology,What was the name of the mythological monster that had nine heads?,99,99
Diamond veil,Apollo's chariot,Golden fleece,Zeus’ lightning bolt,2,Greek Mythology,What item did Jason and the Argonauts obtain to achieve immortal glory?,99,99
A polished shield,Ares’ magic sword,Helmet of invisibility,Winged sandals,0,Greek Mythology,What weapon did Perseus use to defeat the Gorgon named Medusa?,99,99
United States,United Kingdom,Germany,China,0,Sports,What country has the most Olympics gold medals ?,99,99
Lebron James,Michael Jordan,Bill Russel,Magic Johnson,2,Sports,Who has the most NBA rings?,99,99
Green Bay Packer,New England Patriots,Seattle Seahawks,Miami Dolphins,1,Sports,What football team has the most NFL rings?,99,99
4,3,9,6,3,Sports,How many fouls can an NBA player commit before being disqualified?,99,99
Sound Travels Faster Than Light,Too Much Electrical Charge,Because of the Dark Lightning Phenomenon ,Light Travels Faster Than Sound,0,Science,Why do you often see lightning before you hear the thunder?,99,99
Barometer,Hygrometer,Anemometer,Thermometer,2,Science,Which tool is used to measure wind speed?,99,99
Venus,Mercury,Neptune,Jupiter,1,Science,Which planet is closest to the sun?,99,99
The Poles,The Sun,The Wind,The Moon,3,Science,What causes tides?,99,99
71%,68%,81%,93%,0,Science,What percentage of Earth is water?,99,99
Carbon Dioxide,Oxygen,Nitrogen,Argon,2,Science,What makes up 78% of the Earth’s atmosphere?,99,99
1971,1969,1942,1958,1,Science,What year did the first man walk on the moon?,99,99
201,208,206,211,2,Science,How many bones are in the human body?,99,99
Fish,Beaver,Plant,Raccoon,3,Science,What is a coatimundi?,99,99
They use more energy,They all go out when one is not working,Greater fire hazard,Harder to program,1,Science,Christmas tree lights are often connected in series. This is not a good idea because:,99,99
Kamet,Mount Everest,K2,Broad Peak,1,Geography,What is the tallest mountain in the world?,99,99
China,Brazil,India,United States of America,0,Geography,What country has the largest population size?,99,99
Germany,Russia,France,Poland,2,Geography,What country has the most time zones?,99,99
Athens,Jerusalem,Damascus,Rome,2,Geography,What city has been inhabited the longest?,99,99
Europe,Asia,South America,Africa,3,Geography,What continent is in all four hemispheres?,99,99
Mariana Trench,Philippine Trench,Tonga Trench,Kermadec Trench,0,Geography,What is the world's deepest location?,99,99
Europe,Asia,Antarctica,Africa,1,Geography,What is the Earth’s largest continent?,99,99
United States,Australia,Canada,India,2,Geography,What country has the most lakes?,99,99
Celebes Sea,Mediteranian Sea,Adriatic Sea,Sargasso Sea,3,Geography,What Sea has no coasts?,99,99
Egypt,Sudan,Libya,Algeria,1,Geography,What country has the most pyramids?,99,99
